CRASH_ID,VHCL_ID,PARTIC_ID,PARTIC_DSPLY_SEQ_NO,VHCL_CODED_SEQ_NO,PARTIC_VHCL_SEQ_NO,PARTIC_TYP_CD,PARTIC_TYP_SHORT_DESC,PARTIC_HIT_RUN_FLG,PUB_EMPL_FLG,SEX_CD,AGE_VAL,DRVR_LIC_STAT_CD,DRVR_LIC_STAT_SHORT_DESC,DRVR_RES_STAT_CD,DRVR_RES_SHORT_DESC,INJ_SVRTY_CD,INJ_SVRTY_SHORT_DESC,SFTY_EQUIP_USE_CD,SFTY_EQUIP_USE_SHORT_DESC,AIRBAG_DEPLOY_IND,MVMNT_CD,MVMNT_SHORT_DESC,CMPSS_DIR_FROM_CD,PARTIC_CMPSS_DIR_FROM_SHORT_DESC,CMPSS_DIR_TO_CD,PARTIC_CMPSS_DIR_TO_SHORT_DESC,NON_MOTRST_LOC_CD,NON_MOTRST_LOC_SHORT_DESC,ACTN_CD,ACTN_SHORT_DESC,PARTIC_ERR_1_CD,PARTIC_ERR_1_SHORT_DESC,PARTIC_ERR_2_CD,PARTIC_ERR_2_SHORT_DESC,PARTIC_ERR_3_CD,PARTIC_ERR_3_SHORT_DESC,PARTIC_CAUSE_1_CD,PARTIC_CAUSE_1_SHORT_DESC,PARTIC_CAUSE_2_CD,PARTIC_CAUSE_2_SHORT_DESC,PARTIC_CAUSE_3_CD,PARTIC_CAUSE_3_SHORT_DESC,PARTIC_EVNT_1_CD,PARTIC_EVNT_1_SHORT_DESC,PARTIC_EVNT_2_CD,PARTIC_EVNT_2_SHORT_DESC,PARTIC_EVNT_3_CD,BAC_VAL,ALCHL_USE_RPT_IND,DRUG_USE_RPT_IND,MJ_USE_RPT_IND,STRIKG_PARTIC_FLG
1775376,3346105,3810904,1,1,1,1,DRVR,0,0,2,72,2.0,OTH-Y,4.0,N-RES,1,KILL,0,NONE,0.0,,,,,,,,,0,NONE,20,DIS SGNL,4.0,L IN TRF,,,4,DIS SIG,,,,,,,,,,,9.0,9.0,9.0,0
1775376,3346106,3810905,2,2,1,1,DRVR,0,0,1,31,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1776087,3347439,3812609,1,1,1,1,DRVR,1,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,42,F/SLO MV,,,,,1,TOO-FAST,,,,,,,,,,,,,,0
1776087,3347440,3812610,2,2,1,1,DRVR,0,0,2,34,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777280,3349711,3815439,1,1,1,1,DRVR,0,0,1,63,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,38,DISTRACT,16,INATTENT,42.0,F/SLO MV,,,27,INATTENT,,,,,,,,,,,0.0,0.0,3.0,0
1777280,3349712,3815440,2,2,1,1,DRVR,0,0,1,50,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777280,3349712,3815441,3,2,2,2,PSNG,0,0,1,10,,,,,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1777280,3349712,3815442,4,2,3,2,PSNG,0,0,2,12,,,,,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1777481,3350078,3815897,1,1,1,1,DRVR,0,0,1,24,3.0,SUSP,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,0,NONE,43,TOO CLOSE,,,,,7,TOO-CLOS,,,,,,,,,,,0.0,0.0,3.0,0
1777481,3350079,3815898,2,2,1,1,DRVR,0,0,2,24,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777530,3350165,3816007,1,1,1,1,DRVR,0,0,2,66,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777530,3350166,3816008,2,2,1,1,DRVR,1,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,21,RAN STOP,,,,,3,PAS-STOP,,,,,,,,,,,0.0,0.0,3.0,0
1779094,3353145,3819794,1,1,1,1,DRVR,0,0,2,64,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,28,NO ROW,,,,,2,NO-YIELD,,,,,,,,,,,0.0,0.0,3.0,0
1779094,3353146,3819795,2,2,1,1,DRVR,0,0,2,81,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,1.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1784606,3363458,3832826,1,1,1,1,DRVR,0,0,2,69,2.0,OTH-Y,4.0,N-RES,3,INJB,2,BELT,1.0,,,,,,,,,0,NONE,26,REAR-END,,,,,29,F AVOID,,,,,,,,,,,0.0,0.0,3.0,0
1784606,3363459,3832827,2,2,1,1,DRVR,0,0,2,61,2.0,OTH-Y,4.0,N-RES,2,INJA,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1784606,3363459,3832828,3,2,2,2,PSNG,0,0,1,38,,,,,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1788023,3369996,3841005,1,1,1,1,DRVR,0,0,1,17,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,17,LOSTCTRL,47,BASCRULE,17.0,UNSF VEH,,,1,TOO-FAST,,,,,,,,,,,0.0,0.0,3.0,0
1788023,3369997,3841006,2,2,1,1,DRVR,0,0,1,64,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1788023,3369997,3841007,3,2,2,2,PSNG,0,0,2,64,,,,,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1788045,3370038,3841061,1,1,1,1,DRVR,0,0,2,20,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,,,,,,,,,,88,OTHER,26,REAR-END,,,,,29,F AVOID,,,,,,,,,,,,,,0
1788045,3370039,3841062,2,2,1,1,DRVR,0,0,2,30,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1788045,3370040,3841063,3,3,1,1,DRVR,0,0,1,42,2.0,OTH-Y,4.0,N-RES,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1788068,3370088,3841117,1,1,1,1,DRVR,0,0,1,30,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,0,NONE,26,REAR-END,,,,,29,F AVOID,,,,,,,,,,,0.0,0.0,3.0,0
1788068,3370089,3841118,2,2,1,1,DRVR,0,0,2,41,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1788068,3370089,3841119,3,2,2,2,PSNG,0,0,2,68,,,,,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1788068,3370090,3841120,4,3,1,1,DRVR,0,0,1,46,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1788139,3370234,3841303,1,1,1,1,DRVR,0,0,1,82,1.0,OR-Y,1.0,OR<25,3,INJB,2,BELT,,,,,,,,,,88,OTHER,80,FAIL LN,81.0,OFF RD,,,10,OTHR-IMP,,,,,,,,,,86.0,0.0,0.0,3.0,0
1794003,3381398,3855388,1,1,1,1,DRVR,0,0,1,28,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,1.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1794003,3381398,3855389,2,1,2,2,PSNG,0,0,1,28,,,,,3,INJB,2,BELT,1.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1794003,3381399,3855390,3,2,1,1,DRVR,0,0,2,73,1.0,OR-Y,2.0,OR>25,3,INJB,2,BELT,1.0,,,,,,,,,0,NONE,20,DIS SGNL,,,,,4,DIS SIG,,,,,,,,,,86.0,0.0,0.0,3.0,0
1794038,3381468,3855474,1,1,1,1,DRVR,0,0,1,35,1.0,OR-Y,2.0,OR>25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,26,REAR-END,,,,,29,F AVOID,,,,,,,,,,,,,,0
1794038,3381469,3855475,2,2,1,1,DRVR,0,0,1,49,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1794085,3381558,3855593,1,1,1,1,DRVR,0,0,2,20,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,1.0,,,,,,,,,0,NONE,47,BASCRULE,43.0,TOO CLOSE,,,1,TOO-FAST,7.0,TOO-CLOS,,,,,,,,86.0,0.0,0.0,3.0,0
1794085,3381558,3855594,2,1,2,2,PSNG,0,0,1,16,,,,,3,INJB,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1794085,3381559,3855595,3,2,1,1,DRVR,0,0,1,55,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1794107,3381597,3855642,1,1,1,1,DRVR,0,0,1,22,1.0,OR-Y,2.0,OR>25,3,INJB,2,BELT,,,,,,,,,,88,OTHER,47,BASCRULE,81.0,OFF RD,,,1,TOO-FAST,,,,,,,,,,,0.0,0.0,3.0,0
1794136,3381649,3855708,1,1,1,1,DRVR,0,0,2,48,1.0,OR-Y,1.0,OR<25,3,INJB,2,BELT,1.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,82.0,VEH HID,,,,,0.0,0.0,3.0,0
1794136,3381650,3855709,2,2,1,1,DRVR,0,0,2,41,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,,,,,,,,,,0,NONE,52,CARELESS,,,,,32,CARELESS,,,,,82.0,VEH HID,,,,,0.0,0.0,3.0,0
1795504,3384249,3858946,1,1,1,1,DRVR,0,0,1,29,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,38,DISTRACT,16,INATTENT,,,,,27,INATTENT,,,,,,,,,,,0.0,0.0,3.0,0
1795504,3384250,3858947,2,2,1,1,DRVR,0,0,1,56,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1795504,3384250,3858948,3,2,2,2,PSNG,0,0,2,57,,,,,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1795511,3384264,3858962,1,1,1,1,DRVR,0,0,2,30,1.0,OR-Y,1.0,OR<25,3,INJB,2,BELT,0.0,,,,,,,,,38,DISTRACT,52,CARELESS,16.0,INATTENT,50.0,SPEED,32,CARELESS,27.0,INATTENT,30.0,SPEED,93.0,CELL PHONE,,,,86.0,0.0,0.0,3.0,0
1795631,3384503,3859285,1,1,1,1,DRVR,0,0,1,36,2.0,OTH-Y,4.0,N-RES,9,NONE,9,UNK,1.0,,,,,,,,,88,OTHER,44,STRDL LN,,,,,5,LEFT-CTR,,,,,,,,,,86.0,0.0,0.0,3.0,0
1795631,3384504,3859286,2,2,1,1,DRVR,0,0,2,31,1.0,OR-Y,1.0,OR<25,3,INJB,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1796435,3386082,3861338,1,1,1,1,DRVR,0,0,1,45,2.0,OTH-Y,4.0,N-RES,3,INJB,2,BELT,1.0,,,,,,,,,25,FATIGUE,80,FAIL LN,,,,,16,FATIGUE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1796607,3386416,3861745,1,1,1,1,DRVR,0,0,1,57,1.0,OR-Y,1.0,OR<25,4,INJC,9,UNK,,,,,,,,,,0,NONE,45,IMP CHG,,,,,13,IMP LN C,,,,,1.0,FEL/JUMP,,,,86.0,0.0,0.0,3.0,0
1796607,3386417,3861746,2,2,1,1,DRVR,0,0,2,53,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1796642,3386478,3861824,1,1,1,1,DRVR,0,0,1,74,1.0,OR-Y,1.0,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,26,REAR-END,,,,,29,F AVOID,,,,,,,,,,,,,,0
1796642,3386479,3861825,2,2,1,1,DRVR,0,0,2,30,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1797516,3388133,3863951,1,1,1,1,DRVR,0,0,1,30,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,0,NONE,43,TOO CLOSE,,,,,7,TOO-CLOS,,,,,,,,,,,0.0,0.0,3.0,0
1797516,3388134,3863952,2,2,1,1,DRVR,0,0,2,32,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1797516,3388134,3863953,3,2,2,2,PSNG,0,0,2,56,,,,,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1797707,3388504,3864409,1,1,1,1,DRVR,0,0,1,60,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1797707,3388505,3864410,2,2,1,1,DRVR,0,0,1,18,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,28,NO ROW,,,,,2,NO-YIELD,,,,,,,,,,,0.0,0.0,3.0,0
1798149,3389348,3865461,1,1,1,1,DRVR,1,0,1,28,1.0,OR-Y,1.0,OR<25,4,INJC,9,UNK,,,,,,,,,,88,OTHER,80,FAIL LN,81.0,OFF RD,,,10,OTHR-IMP,,,,,,,,,,10.0,1.0,,,0
1798422,3389879,3866134,1,1,1,1,DRVR,0,0,1,26,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,1.0,,,,,,,,,0,NONE,47,BASCRULE,42.0,F/SLO MV,,,1,TOO-FAST,29.0,F AVOID,,,,,,,,,,,,0
1798422,3389879,3866135,2,1,2,2,PSNG,0,0,1,2,,,,,9,NONE,4,CHILD,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1798422,3389880,3866136,3,2,1,1,DRVR,0,0,2,64,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1798462,3389955,3866229,1,1,1,1,DRVR,0,0,1,31,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,,,,,,,,,,0,NONE,21,RAN STOP,,,,,3,PAS-STOP,,,,,,,,,,86.0,0.0,0.0,3.0,0
1798462,3389956,3866230,2,2,1,1,DRVR,0,0,2,20,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,1.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1798541,3390113,3866421,1,1,1,1,DRVR,0,0,2,50,1.0,OR-Y,2.0,OR>25,3,INJB,2,BELT,1.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1798541,3390114,3866422,2,2,1,1,DRVR,0,0,2,57,1.0,OR-Y,2.0,OR>25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,28,NO ROW,,,,,2,NO-YIELD,,,,,,,,,,,0.0,0.0,3.0,0
1803365,3399297,3877820,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1803397,3399350,3877871,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1803397,3399351,3877872,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1805193,3402592,3881062,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1806353,3404685,3883100,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1806494,3404941,3883345,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1806494,3404942,3883346,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1807565,3406814,3885172,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1807565,3406815,3885173,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1809476,3410198,3888495,1,1,1,1,DRVR,0,0,2,18,2.0,OTH-Y,2.0,OR>25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,0.0,0.0,0.0,0.0,0
1810375,3411744,3890005,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1810375,3411745,3890006,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1810476,3411912,3890166,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1813352,3416905,3895108,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1813461,3417084,3895294,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1814427,3418748,3896958,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1814427,3418749,3896959,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1815808,3421049,3899260,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1815808,3421050,3899261,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1819814,3427804,3905854,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,1.0,,,0
1819814,3427805,3905855,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1820036,3428210,3906244,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1820036,3428211,3906245,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1820398,3428858,3906849,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1820398,3428859,3906850,2,2,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1820671,3429353,3907308,1,1,1,1,DRVR,0,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
